Nombre,Localización,País,Latitud,Longitud,Altura,time_to_eruption_dt
Dubbi,Africa-NE,Eritrea,13.579,41.809,1625.0,23880706.831419207
Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361.0,31065358.98242434
Ofu-Olosega,Samoa-SW Pacific,United States,-14.175,-169.618,639.0,12928987.82615638
Zaozan [Zaosan],Honshu-Japan,Japan,38.144,140.44,1841.0,14118766.631810348
Mauna Loa,Hawaiian Is,United States,19.475,-155.608,4170.0,45493819.4284573
Lewotobi,Lesser Sunda Is,Indonesia,-8.542,122.775,1703.0,21177297.25042966
Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37,725.0,3968958.637319583
Iliwerung,Lesser Sunda Is,Indonesia,-8.532,123.573,583.0,24905607.976709325
Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552.0,42875208.19853233
Sinarka,Kuril Is,Russia,48.873,154.182,911.0,46534382.24726151
Ragang,Mindanao-Philippines,Philippines,7.691,124.507,2790.0,26764382.519061256
Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775.0,39646933.78760038
Askja,Iceland-NE,Iceland,65.033,-16.783,1080.0,13198022.281516789
Stromboli,Italy,Italy,38.789,15.213,924.0,13244718.402966237
Karthala,Indian O-W,Comoros,-11.75,43.38,2361.0,47970066.13786056
Bagana,Bougainville-SW Paci,Papua New Guinea,-6.137,155.196,1855.0,1207306.4232815625
Purace,Colombia,Colombia,2.32,-76.4,4650.0,28093155.95372759
Okataina,New Zealand,New Zealand,-38.12,176.5,1111.0,11329881.634427505
Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75.0,19799084.76488361
Bandaisan,Honshu-Japan,Japan,37.601,140.072,1816.0,11891844.457757035
Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5.0,41714358.050333016
Victory,New Guinea,Papua New Guinea,-9.2,149.07,1925.0,843481.9257305883
Sorikmarapi,Sumatra,Indonesia,0.686,99.539,2145.0,8422534.226848176
Tofua,Tonga-SW Pacific,Tonga,-19.75,-175.07,515.0,41652673.953686886
Calbuco,Chile-S,Chile,-41.33,-72.618,1974.0,47676314.51546768
Azumayama,Honshu-Japan,Japan,37.735,140.244,1949.0,15453728.557096113
Karkar,New Guinea-NE of,Papua New Guinea,-4.647,145.976,1839.0,6816208.225643663
Dona Juana,Colombia,Colombia,1.5,-76.936,4137.0,25243062.182601817
Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807.0,11864875.369087553
Adatarayama,Honshu-Japan,Japan,37.647,140.281,1728.0,549349.3533511284
Tullu Moye,Africa-NE,Ethiopia,8.159,39.137,2343.0,29444429.681851268
Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.37,833.0,3572159.477876174
Pelee,W Indies,Martinique,14.809,-61.166,1372.0,35461709.40661124
Izu-Torishima,Izu Is-Japan,Japan,30.484,140.303,394.0,11639172.07254429
Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745.0,43667662.43428089
Savai'i,Samoa-SW Pacific,Samoa,-13.612,-172.525,1858.0,6892291.633612356
Alayta,Africa-NE,Ethiopia,12.888,40.573,1496.0,18183482.49866341
Cameroon,Africa-W,Cameroon,4.203,9.17,4095.0,13242283.036882332
Piparo,Trinidad,Trinidad,10.0,-61.0,140.0,32003433.02457451
Novarupta,Alaska Peninsula,United States,58.27,-155.157,841.0,10673990.467559995
Nyamulagira,Africa-C,"Congo, DRC",-1.408,29.2,3058.0,40136798.15359605
Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294.0,4470491.417677688
"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962.0,46076783.2790381
Popocatepetl,Mexico,Mexico,19.023,-98.622,5393.0,20968574.48375533
Izalco,El Salvador,El Salvador,13.813,-89.633,1950.0,34999554.49239468
"Cendres, Ile des",SE Asia,Vietnam,10.158,109.014,-20.0,39102627.90979839
Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077.0,11907379.538357887
Esjufjoll,Iceland-SE,Iceland,64.25,-16.583,1620.0,17182396.09253366
Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875.0,1114746.182046559
Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165.0,45868001.707747616
Kharimkotan,Kuril Is,Russia,49.12,154.508,1145.0,33133516.0734975
Hakoneyama,Honshu-Japan,Japan,35.233,139.021,1438.0,29188751.53327511
Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535.0,15181731.262551466
Hood,US-Oregon,United States,45.374,-121.695,3426.0,26118449.146425124
Llaima,Chile-C,Chile,-38.692,-71.729,3125.0,16315737.569973225
Kick 'em Jenny,W Indies,Netherlands,12.3,-61.64,-185.0,7434081.421199325
Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797.0,45010492.81820956
Michoacan-Guanajuato,Mexico,Mexico,19.85,-101.75,3860.0,31028918.129696023
"Azul, Cerro",Galapagos,Ecuador,-0.92,-91.408,1640.0,4341874.230053561
Cleveland,Aleutian Is,United States,52.825,-169.944,1730.0,24050063.48689239
Sarychev Peak,Kuril Is,Russia,48.092,153.2,1496.0,20110945.22949923
Akagisan,Honshu-Japan,Japan,36.56,139.193,1828.0,43672643.747957066
Villarrica,Chile-C,Chile,-39.42,-71.93,2847.0,12975220.458595073
Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680.0,39853299.80216075
Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-8.991,157.979,-20.0,38287037.84968604
Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360.0,8423729.585848074
Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329.0,17358811.86487194
Sirung,Lesser Sunda Is,Indonesia,-8.508,124.13,862.0,4099453.9594877786
Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797.0,21687132.495746378
Bam,New Guinea-NE of,Papua New Guinea,-3.613,144.818,685.0,29248418.97012252
Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114.0,8126353.141853595
Bezymianny,Kamchatka,Russia,55.972,160.595,2882.0,30586597.94999628
Vsevidof,Aleutian Is,United States,53.13,-168.693,2149.0,26074566.97715755
Mahawu,Sulawesi-Indonesia,Indonesia,1.352,124.865,1299.0,27549396.91025954
Taisetsuzan,Hokkaido-Japan,Japan,43.664,142.854,2291.0,15162620.904834298
Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236.0,26313116.918398637
Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436.0,21071157.628775183
Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997.0,47145055.13337696
Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717.0,8190357.766752411
Rincon de la Vieja,Costa Rica,Costa Rica,10.83,-85.324,1916.0,39750602.07570136
Deception Island,Antarctica,Antarctica,-63.001,-60.652,602.0,6071574.337703462
Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670.0,22223801.19874976
Iya,Lesser Sunda Is,Indonesia,-8.891,121.641,618.0,41784156.98483547
Didicas,Luzon-N of,Philippines,19.077,122.202,228.0,43771715.94364095
Naruko,Honshu-Japan,Japan,38.729,140.734,470.0,7292699.970755678
"Fournaise, Piton de la",Indian O-W,Reunion,-21.244,55.708,2632.0,39158791.07967145
Vestmannaeyjar,Iceland-S,Iceland,63.416,-20.266,283.0,22333588.108684
Niigata-Yakeyama,Honshu-Japan,Japan,36.921,138.036,2400.0,23530231.67980626
Marapi,Sumatra,Indonesia,-0.38,100.474,2885.0,31153143.354332075
Sangay,Ecuador,Ecuador,-2.005,-78.341,5286.0,33209682.160224583
Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470.0,26908983.641457018
Vilyuchinsky,Kamchatka,Russia,52.7,158.28,2173.0,17529698.939284038
Colo,Sulawesi-Indonesia,Indonesia,-0.162,121.601,404.0,42320370.76933756
Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136.0,38018882.362609856
Oku Volcanic Field,Africa-W,Cameroon,6.25,10.5,3011.0,19814745.090198647
Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067.0,8009730.878742476
Akita-Yakeyama,Honshu-Japan,Japan,39.964,140.757,1366.0,18835015.299877964
Lonquimay,Chile-C,Chile,-38.379,-71.586,2832.0,3385274.954853908
Mutnovsky,Kamchatka,Russia,52.449,158.196,2288.0,962829.8967337796
"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728.0,32199995.030232728
Spurr,Alaska-SW,United States,61.299,-152.251,3374.0,24443495.852896035
Galeras,Colombia,Colombia,1.22,-77.37,4276.0,33642323.27885082
Wurlali,Banda Sea,Indonesia,-7.125,128.675,868.0,44912643.12849438
"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364.0,26767299.143415987
Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726.0,20088139.12484299
Yakedake,Honshu-Japan,Japan,36.227,137.587,2455.0,31728062.638553217
Kelimutu,Lesser Sunda Is,Indonesia,-8.77,121.82,1639.0,38630136.4413426
Parker,Mindanao-Philippines,Philippines,6.113,124.892,1824.0,13660962.225564113
Karymsky,Kamchatka,Russia,54.049,159.443,1513.0,35154781.67633758
Kanlaon,Philippines-C,Philippines,10.412,123.132,2435.0,27047299.52987197
Maderas,Nicaragua,Nicaragua,11.446,-85.515,1394.0,17562785.883025963
Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915.0,22759243.693744965
Hakkodasan,Honshu-Japan,Japan,40.659,140.877,1585.0,41511605.74890991
San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745.0,29651517.916387696
Reventador,Ecuador,Ecuador,-0.077,-77.656,3562.0,885123.0739371945
Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661.0,32658041.03745668
Tengger Caldera,Java,Indonesia,-7.942,112.95,2329.0,25014544.477432463
Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381.0,15222676.436162531
Salak,Java,Indonesia,-6.716,106.733,2218.0,39593230.56922077
"Tair, Jebel at",Red Sea,Yemen,15.55,41.83,244.0,11550730.97342648
Chaiten,Chile-S,Chile,-42.833,-72.646,1122.0,16999049.30908504
Kasatochi,Aleutian Is,United States,52.177,-175.508,314.0,29990993.408425186
Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651.0,20505601.91654385
Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0.0,2619931.771856446
Sinabung,Sumatra,Indonesia,3.17,98.392,2460.0,42563322.18957393
Nabro,Africa-NE,Eritrea,13.37,41.7,2218.0,34928492.99976528
Tolbachik,Kamchatka,Russia,55.832,160.326,3611.0,1154685.597502141
Ubinas,Peru,Peru,-16.355,-70.903,5672.0,7376803.372315003
Yellowstone,US-Wyoming,United States,44.43,-110.67,2805.0,32629302.71313288
Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365.0,18738556.70977393
Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334.0,42456885.786890425
Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.536,-175.382,114.0,31059362.26637225
Reykjanes,Iceland-SW,Iceland,63.817,-22.717,140.0,40216586.25344549
,,,,,,48136952.7270995
,,,,,,39847265.71905749
,,,,,,28929120.33170494
,,,,,,7620523.603025285
,,,,,,2515392.39434334
,,,,,,5012511.485763846
,,,,,,2005581.494636132
,,,,,,35880928.3380689
,,,,,,21979227.355986334
,,,,,,25408028.48441282
,,,,,,21057369.45250564
,,,,,,45322378.6736703
,,,,,,37964521.6097055
,,,,,,40489242.55387163
,,,,,,30716412.38252804
,,,,,,2010602.267433246
,,,,,,34208294.16607275
,,,,,,10253579.33988483
,,,,,,13330408.689853998
,,,,,,31616569.58127112
,,,,,,2691854.143582741
,,,,,,37489612.989439376
,,,,,,11102287.43196982
,,,,,,24372154.63898508
,,,,,,8943499.055330824
,,,,,,12704431.11123743
,,,,,,45442521.61522101
,,,,,,8383600.537605164
,,,,,,42439770.28716044
,,,,,,46041210.1462565
,,,,,,14249729.519461112
,,,,,,31692775.08733433
,,,,,,7472275.172282596
,,,,,,21333774.404931027
,,,,,,3338750.6045794417
,,,,,,18697789.11801404
,,,,,,12585701.826073209
,,,,,,34520848.12625761
,,,,,,7865495.956974924
,,,,,,25134224.440935843
,,,,,,43637279.72067419
,,,,,,45270466.95536704
,,,,,,35001396.638812155
,,,,,,48389885.85705826
,,,,,,14035148.849676736
,,,,,,29439816.138898816
,,,,,,40061174.040953845
,,,,,,26226178.071314268
,,,,,,10875076.008324005
,,,,,,17068871.968476597
,,,,,,42636356.97021902
,,,,,,942828.0199651195
,,,,,,25966077.602052536
,,,,,,28575679.680964224
,,,,,,3442781.738481425
,,,,,,13741499.897977185
,,,,,,12715248.104247725
,,,,,,34808234.049084984
,,,,,,36381326.92815631
,,,,,,40292178.84206956
,,,,,,39174945.45083509
,,,,,,42218409.13488895
,,,,,,35119632.75011118
,,,,,,8568522.255123006
,,,,,,8824712.398956252
,,,,,,39641500.11132227
,,,,,,34054138.50653637
,,,,,,40381938.04203399
,,,,,,38640736.10014354
,,,,,,18862907.28930979
,,,,,,3969736.966454987
,,,,,,10785391.481155096
,,,,,,40753248.25357333
,,,,,,45862818.53461755
,,,,,,20234773.745108843
,,,,,,27659610.23645352
,,,,,,18376846.42895554
,,,,,,16447078.975934898
,,,,,,42916583.44203404
,,,,,,35582921.70944037
,,,,,,28987960.21357318
,,,,,,41769309.76371427
,,,,,,34362961.306985505
,,,,,,33113913.93966281
,,,,,,18128905.74626714
,,,,,,45837380.04829135
,,,,,,28711134.801614765
,,,,,,21278485.38775032
,,,,,,32735829.001468647
,,,,,,8889058.10462359
,,,,,,22313506.28721318
,,,,,,16139620.621635428
,,,,,,111893.86841249422
,,,,,,29185811.65726694
,,,,,,20622050.611762498
,,,,,,10504394.361568764
,,,,,,21051358.63431638
,,,,,,36702752.71381848
,,,,,,24093805.396046214
,,,,,,25166206.589980185
,,,,,,34480217.457166284
,,,,,,678708.600231547
,,,,,,15392366.264119852
,,,,,,16766520.022232365
,,,,,,44335907.81141665
,,,,,,34872409.85745017
,,,,,,16049155.521332191
,,,,,,41658831.626698
,,,,,,34100573.20285569
,,,,,,37007745.10173356
,,,,,,22791710.199183337
,,,,,,16023100.774764145
,,,,,,38662630.65899695
,,,,,,44516648.875770085
,,,,,,31406479.564652257
,,,,,,3205802.894596417
,,,,,,31441331.71591393
,,,,,,32802984.3629713
,,,,,,32743393.899928875
,,,,,,38437268.43447743
,,,,,,44029869.0143207
,,,,,,31094581.771626983
,,,,,,9494220.37743045
,,,,,,13030354.503965978
,,,,,,21976347.531875025
,,,,,,4504323.778336307
,,,,,,20805131.53606725
,,,,,,38672537.41202632
,,,,,,13635828.587998817
,,,,,,21625740.447279017
,,,,,,48154558.31230772
,,,,,,7584910.541321804
,,,,,,9722251.461143017
,,,,,,22141138.15939768
,,,,,,36533829.14302819
,,,,,,15114617.4244273
,,,,,,14330109.526628736
,,,,,,40285361.00397962
,,,,,,37243593.2326434
,,,,,,20681007.8212218
,,,,,,43559666.16964968
,,,,,,47749178.39980106
,,,,,,7547980.717001022
,,,,,,19320219.49795006
,,,,,,19188980.42508051
,,,,,,20357007.32722134
,,,,,,4660343.327584298
,,,,,,19517818.33007965
,,,,,,10573833.383010603
,,,,,,39545957.51007202
,,,,,,36498832.864195
,,,,,,10123612.286066944
,,,,,,19134559.022673976
,,,,,,33215935.82874264
,,,,,,31310817.347161926
,,,,,,21664264.7526633
,,,,,,39271493.071628615
,,,,,,39201070.42499815
,,,,,,10071615.590975616
,,,,,,5438088.51369496
,,,,,,26807139.72361954
,,,,,,9147391.593522793
,,,,,,30424308.539497603
,,,,,,21484620.41676997
,,,,,,8400524.348983785
,,,,,,12913612.429778077
,,,,,,39801676.17983004
,,,,,,11587500.803020442
,,,,,,14497970.786990056
,,,,,,32186509.640506465
,,,,,,29837668.879507776
,,,,,,24117202.528391976
,,,,,,38481944.15711043
,,,,,,38975964.47546593
,,,,,,5445379.886738468
,,,,,,34363481.606125645
,,,,,,41960979.280650966
,,,,,,27895557.452450477
,,,,,,7755503.555438007
,,,,,,24993200.312702198
,,,,,,24015705.22401951
,,,,,,6680654.665892842
,,,,,,15047061.100193655
,,,,,,21543890.03838904
