sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
,-92.0,314.0,-38.0,,-358.0,-62.0,2141.0,,
,128.0,304.0,115.0,,77.0,-13.0,2512.0,,
,355.0,274.0,268.0,,153.0,-82.0,1123.0,,
,247.0,298.0,107.0,,-161.0,-194.0,-389.0,,
,-103.0,270.0,162.0,,-631.0,-292.0,-1267.0,,
,0.0,222.0,236.0,,-662.0,-260.0,-968.0,,
,77.0,209.0,181.0,,-421.0,-179.0,456.0,,
,-32.0,166.0,141.0,,-457.0,-169.0,1529.0,,
,-190.0,119.0,106.0,,-579.0,-181.0,2499.0,,
,-389.0,120.0,356.0,,-625.0,-190.0,2706.0,,
,-312.0,116.0,392.0,,-436.0,-178.0,2490.0,,
,-352.0,95.0,418.0,,-450.0,-134.0,2119.0,,
,-504.0,89.0,193.0,,-369.0,-104.0,1396.0,,
,-297.0,101.0,-52.0,,-295.0,-74.0,1038.0,,
,35.0,97.0,-34.0,,-447.0,-99.0,42.0,,
,73.0,115.0,-344.0,,-341.0,-166.0,-1540.0,,
,-142.0,136.0,-367.0,,-200.0,-147.0,-3226.0,,
,-388.0,111.0,-307.0,,-183.0,-137.0,-3687.0,,
,-500.0,110.0,-119.0,,-352.0,-150.0,-2644.0,,
,-582.0,121.0,42.0,,-356.0,-81.0,-1055.0,,
,-665.0,103.0,-7.0,,-279.0,-19.0,977.0,,
,-466.0,113.0,288.0,,-245.0,-76.0,1535.0,,
,-77.0,99.0,466.0,,10.0,-141.0,1160.0,,
,91.0,102.0,453.0,,116.0,-118.0,657.0,,
,-122.0,107.0,384.0,,47.0,-76.0,471.0,,
,-192.0,70.0,406.0,,-8.0,-60.0,1086.0,,
,102.0,111.0,449.0,,-40.0,-51.0,946.0,,
,240.0,72.0,328.0,,74.0,-66.0,920.0,,
,231.0,82.0,287.0,,137.0,-88.0,1300.0,,
,441.0,98.0,326.0,,224.0,-16.0,1459.0,,
,770.0,58.0,230.0,,185.0,52.0,1051.0,,
,820.0,99.0,39.0,,7.0,8.0,480.0,,
,633.0,30.0,-27.0,,74.0,-53.0,341.0,,
,491.0,47.0,-22.0,,223.0,-30.0,-182.0,,
,416.0,5.0,-238.0,,181.0,-30.0,-327.0,,
,240.0,-48.0,-504.0,,-33.0,-105.0,-609.0,,
,116.0,-16.0,-506.0,,-79.0,-84.0,-977.0,,
,179.0,-99.0,-451.0,,31.0,-19.0,-454.0,,
,240.0,-51.0,-236.0,,167.0,-51.0,424.0,,
,305.0,-120.0,15.0,,98.0,-124.0,1295.0,,
,87.0,-142.0,81.0,,-56.0,-127.0,1099.0,,
,-413.0,-109.0,138.0,,-87.0,-87.0,724.0,,
,-606.0,-208.0,188.0,,24.0,-66.0,339.0,,
,-531.0,-157.0,155.0,,154.0,-83.0,49.0,,
,-649.0,-219.0,159.0,,81.0,-89.0,694.0,,
,-557.0,-190.0,218.0,,139.0,-8.0,711.0,,
,3.0,-167.0,-38.0,,341.0,48.0,303.0,,
,112.0,-199.0,-153.0,,431.0,47.0,-286.0,,
,-96.0,-126.0,-139.0,,181.0,26.0,-489.0,,
,113.0,-189.0,-176.0,,-19.0,-24.0,-227.0,,
,374.0,-122.0,-91.0,,174.0,-85.0,40.0,,
,352.0,-128.0,-43.0,,404.0,-118.0,1051.0,,
,75.0,-130.0,212.0,,316.0,-155.0,1358.0,,
,-209.0,-104.0,67.0,,15.0,-171.0,1747.0,,
,-99.0,-156.0,-61.0,,-95.0,-93.0,2313.0,,
,10.0,-125.0,152.0,,136.0,-84.0,2124.0,,
,-332.0,-185.0,173.0,,302.0,-179.0,2248.0,,
,-628.0,-158.0,-24.0,,91.0,-287.0,1906.0,,
,-746.0,-192.0,-420.0,,-131.0,-315.0,873.0,,
,-952.0,-210.0,-401.0,,-271.0,-207.0,-770.0,,
,-1031.0,-202.0,-237.0,,6.0,-130.0,-2049.0,,
,-832.0,-253.0,-188.0,,241.0,-76.0,-2826.0,,
,-368.0,-208.0,-170.0,,110.0,-1.0,-3390.0,,
,211.0,-257.0,-332.0,,-154.0,46.0,-2793.0,,
,394.0,-238.0,-688.0,,-381.0,92.0,-1670.0,,
,558.0,-227.0,-771.0,,-38.0,102.0,94.0,,
,914.0,-236.0,-508.0,,218.0,26.0,1561.0,,
,645.0,-207.0,-365.0,,-32.0,-68.0,2636.0,,
,216.0,-216.0,-192.0,,-394.0,-89.0,3904.0,,
,-68.0,-193.0,-148.0,,-287.0,-123.0,4338.0,,
,-269.0,-189.0,-128.0,,18.0,-199.0,4057.0,,
,-320.0,-171.0,-51.0,,62.0,-178.0,2950.0,,
,-452.0,-151.0,-148.0,,-199.0,-28.0,1993.0,,
,-510.0,-119.0,-185.0,,-381.0,15.0,639.0,,
,-569.0,-87.0,-83.0,,-164.0,-33.0,-1263.0,,
,-296.0,-72.0,-48.0,,-10.0,-54.0,-1962.0,,
,-20.0,-41.0,-190.0,,9.0,-151.0,-2028.0,,
,99.0,-26.0,-330.0,,-293.0,-215.0,-1313.0,,
,277.0,-27.0,-288.0,,-391.0,-158.0,-654.0,,
,280.0,-19.0,-258.0,,-181.0,1.0,-199.0,,
,254.0,-22.0,-43.0,,72.0,46.0,382.0,,
,-58.0,-13.0,169.0,,207.0,-76.0,393.0,,
,-244.0,-39.0,74.0,,171.0,-98.0,330.0,,
,-172.0,-52.0,223.0,,240.0,-64.0,-260.0,,
,-63.0,-45.0,371.0,,2.0,-15.0,-160.0,,
,11.0,-78.0,211.0,,-33.0,85.0,465.0,,
,143.0,-70.0,-122.0,,188.0,130.0,772.0,,
,300.0,-108.0,-359.0,,212.0,-18.0,1433.0,,
,111.0,-106.0,-460.0,,187.0,-187.0,1749.0,,
,260.0,-129.0,-462.0,,190.0,-148.0,1712.0,,
,472.0,-136.0,-141.0,,-7.0,-56.0,696.0,,
,499.0,-95.0,68.0,,-89.0,31.0,-521.0,,
,568.0,-133.0,23.0,,217.0,109.0,-1090.0,,
,427.0,-111.0,-61.0,,231.0,73.0,-1278.0,,
,185.0,-154.0,-43.0,,93.0,-17.0,-990.0,,
,-131.0,-148.0,4.0,,-13.0,-26.0,-857.0,,
,-413.0,-164.0,-19.0,,190.0,53.0,16.0,,
,-588.0,-206.0,-24.0,,406.0,75.0,879.0,,
,-540.0,-209.0,-34.0,,119.0,18.0,1001.0,,
,-436.0,-302.0,-120.0,,-4.0,7.0,1188.0,,
,-216.0,-299.0,-163.0,,179.0,-24.0,1297.0,,
,-9.0,-335.0,-164.0,,600.0,-63.0,1823.0,,
,42.0,-358.0,-342.0,,573.0,-28.0,2163.0,,
,353.0,-360.0,-377.0,,184.0,-8.0,2370.0,,
,455.0,-399.0,-204.0,,162.0,-31.0,1814.0,,
,377.0,-381.0,37.0,,208.0,-113.0,142.0,,
,456.0,-388.0,99.0,,312.0,-129.0,-787.0,,
,218.0,-365.0,17.0,,243.0,-29.0,-1354.0,,
,-33.0,-338.0,138.0,,70.0,68.0,-1470.0,,
,-209.0,-308.0,153.0,,161.0,93.0,-1391.0,,
,-640.0,-244.0,262.0,,419.0,-72.0,-1038.0,,
,-695.0,-195.0,480.0,,504.0,-275.0,-101.0,,
,-551.0,-163.0,596.0,,329.0,-243.0,694.0,,
,-677.0,-95.0,667.0,,254.0,-111.0,1550.0,,
,-490.0,-52.0,640.0,,198.0,-160.0,1461.0,,
,71.0,-28.0,697.0,,237.0,-274.0,1062.0,,
,503.0,31.0,533.0,,419.0,-191.0,430.0,,
,606.0,50.0,134.0,,457.0,-59.0,-271.0,,
,679.0,67.0,-197.0,,360.0,-71.0,-173.0,,
,722.0,89.0,-415.0,,123.0,-49.0,-227.0,,
,541.0,55.0,-521.0,,-90.0,101.0,-109.0,,
,246.0,67.0,-761.0,,25.0,147.0,-369.0,,
,-330.0,99.0,-850.0,,321.0,34.0,-545.0,,
,-786.0,102.0,-761.0,,458.0,-76.0,-214.0,,
,-1072.0,125.0,-629.0,,333.0,-152.0,31.0,,
,-1341.0,131.0,-418.0,,177.0,-134.0,556.0,,
,-1229.0,157.0,-351.0,,187.0,-98.0,648.0,,
,-1004.0,125.0,-282.0,,300.0,-231.0,650.0,,
,-701.0,116.0,-264.0,,256.0,-406.0,508.0,,
,-335.0,115.0,-242.0,,75.0,-368.0,273.0,,
,104.0,65.0,23.0,,18.0,-137.0,-49.0,,
,478.0,72.0,149.0,,126.0,33.0,-907.0,,
,862.0,17.0,-5.0,,279.0,11.0,-1062.0,,
,1105.0,28.0,38.0,,133.0,-156.0,-955.0,,
,830.0,23.0,210.0,,52.0,-319.0,-286.0,,
,595.0,6.0,155.0,,233.0,-356.0,835.0,,
,429.0,11.0,-27.0,,353.0,-208.0,1108.0,,
,320.0,-18.0,39.0,,226.0,-6.0,696.0,,
,-70.0,0.0,98.0,,2.0,49.0,-179.0,,
,-564.0,-50.0,-129.0,,22.0,17.0,-208.0,,
,-568.0,-34.0,-14.0,,119.0,-51.0,75.0,,
,-440.0,-64.0,79.0,,244.0,-168.0,314.0,,
,-560.0,-97.0,-45.0,,174.0,-277.0,663.0,,
,-738.0,-79.0,161.0,,83.0,-244.0,679.0,,
,-394.0,-106.0,425.0,,65.0,-161.0,1032.0,,
,-84.0,-98.0,458.0,,86.0,-218.0,742.0,,
,-35.0,-95.0,219.0,,184.0,-283.0,131.0,,
,-22.0,-67.0,107.0,,135.0,-188.0,-711.0,,
,30.0,-74.0,140.0,,95.0,21.0,-1879.0,,
,235.0,-41.0,39.0,,156.0,188.0,-2315.0,,
,117.0,-31.0,-44.0,,135.0,203.0,-2418.0,,
,-343.0,-6.0,-290.0,,6.0,89.0,-1853.0,,
,-393.0,22.0,-331.0,,-16.0,-51.0,-1261.0,,
,69.0,40.0,-112.0,,-68.0,-193.0,-399.0,,
,104.0,54.0,102.0,,79.0,-283.0,1178.0,,
,-163.0,29.0,268.0,,231.0,-193.0,2438.0,,
,-109.0,58.0,341.0,,341.0,52.0,3436.0,,
,258.0,0.0,370.0,,386.0,206.0,3658.0,,
,338.0,7.0,193.0,,106.0,93.0,3747.0,,
,19.0,-49.0,152.0,,32.0,-59.0,3303.0,,
,33.0,-102.0,166.0,,103.0,-2.0,1880.0,,
,323.0,-107.0,208.0,,135.0,175.0,432.0,,
,431.0,-172.0,211.0,,47.0,303.0,-1237.0,,
,148.0,-118.0,87.0,,-103.0,230.0,-2052.0,,
,-148.0,-158.0,81.0,,-73.0,-26.0,-2331.0,,
,-77.0,-108.0,203.0,,148.0,-188.0,-2254.0,,
,155.0,-90.0,633.0,,256.0,-153.0,-1847.0,,
,159.0,-88.0,877.0,,173.0,-57.0,-1930.0,,
,181.0,-22.0,718.0,,-36.0,47.0,-2010.0,,
,460.0,-42.0,426.0,,-108.0,154.0,-2104.0,,
,583.0,34.0,131.0,,40.0,172.0,-1095.0,,
,408.0,27.0,-2.0,,-17.0,28.0,-160.0,,
,136.0,60.0,-179.0,,-152.0,-176.0,-83.0,,
,406.0,69.0,-444.0,,-275.0,-238.0,295.0,,
,884.0,61.0,-685.0,,-193.0,-107.0,415.0,,
,988.0,81.0,-795.0,,-4.0,66.0,578.0,,
,1048.0,47.0,-526.0,,76.0,140.0,480.0,,
,941.0,85.0,-173.0,,105.0,57.0,670.0,,
,754.0,21.0,-69.0,,40.0,-84.0,831.0,,
,466.0,33.0,2.0,,-128.0,-135.0,838.0,,
,-28.0,7.0,86.0,,-200.0,-162.0,1056.0,,
,-223.0,-13.0,-38.0,,-12.0,-160.0,450.0,,
,12.0,8.0,-240.0,,-8.0,-84.0,410.0,,
,-2.0,-39.0,-249.0,,-75.0,-19.0,254.0,,
,-501.0,2.0,-200.0,,-252.0,-74.0,-375.0,,
,-565.0,-49.0,-107.0,,-392.0,-159.0,-506.0,,
,-368.0,-33.0,187.0,,-265.0,-67.0,-66.0,,
,-745.0,-60.0,306.0,,-329.0,32.0,1189.0,,
,-996.0,-81.0,193.0,,-269.0,111.0,1635.0,,
,-754.0,-73.0,224.0,,-123.0,202.0,1893.0,,
,-451.0,-125.0,58.0,,-119.0,159.0,2414.0,,
,-134.0,-70.0,-180.0,,-148.0,106.0,2498.0,,
,121.0,-104.0,-231.0,,-45.0,67.0,1936.0,,
,104.0,-52.0,-435.0,,41.0,29.0,423.0,,
,-99.0,-57.0,-431.0,,-183.0,-44.0,-563.0,,
,-387.0,-40.0,-196.0,,-327.0,-160.0,-1509.0,,
,-934.0,26.0,-123.0,,-285.0,-135.0,-2209.0,,
,-1240.0,38.0,-128.0,,-82.0,-71.0,-2317.0,,
,-1255.0,109.0,-235.0,,-24.0,-56.0,-2675.0,,
,-1238.0,111.0,-158.0,,-144.0,-36.0,-2407.0,,
,-1147.0,161.0,38.0,,-135.0,-42.0,-1925.0,,
,-933.0,147.0,-16.0,,-157.0,-61.0,-1234.0,,
,-250.0,178.0,-206.0,,1.0,-97.0,-899.0,,
,193.0,196.0,-365.0,,-17.0,-138.0,-705.0,,
,547.0,197.0,-352.0,,-189.0,-115.0,-273.0,,
,1094.0,203.0,-41.0,,-146.0,-71.0,-212.0,,
,1277.0,156.0,333.0,,-253.0,-87.0,1032.0,,
,1258.0,197.0,397.0,,-137.0,-84.0,2159.0,,
,1175.0,128.0,552.0,,95.0,-56.0,2379.0,,
,990.0,146.0,740.0,,-66.0,-53.0,2010.0,,
,523.0,140.0,680.0,,-407.0,-53.0,1147.0,,
,289.0,117.0,547.0,,-417.0,-74.0,927.0,,
,12.0,149.0,415.0,,-165.0,-67.0,678.0,,
,-518.0,84.0,292.0,,-194.0,-24.0,583.0,,
,-600.0,106.0,265.0,,-416.0,7.0,-227.0,,
,-452.0,80.0,399.0,,-505.0,-14.0,-1271.0,,
,-126.0,50.0,465.0,,-300.0,-68.0,-1537.0,,
,353.0,30.0,451.0,,-154.0,-51.0,-1794.0,,
,664.0,-2.0,317.0,,-249.0,-72.0,-1204.0,,
,717.0,-10.0,209.0,,-227.0,-132.0,-395.0,,
,714.0,-52.0,51.0,,-31.0,-105.0,432.0,,
,566.0,-78.0,-69.0,,-36.0,-107.0,960.0,,
,187.0,-92.0,19.0,,-210.0,-118.0,1258.0,,
,-80.0,-112.0,132.0,,-275.0,-126.0,1649.0,,
,-185.0,-129.0,47.0,,-219.0,-140.0,1304.0,,
,-270.0,-109.0,-165.0,,75.0,-84.0,1091.0,,
,-458.0,-120.0,-48.0,,187.0,-88.0,356.0,,
,-587.0,-145.0,-109.0,,-50.0,-102.0,-628.0,,
,-539.0,-162.0,-425.0,,-266.0,-82.0,-1269.0,,
,-604.0,-184.0,-597.0,,-95.0,-91.0,-1622.0,,
,-624.0,-154.0,-622.0,,252.0,-134.0,-1391.0,,
,-419.0,-174.0,-483.0,,227.0,-87.0,-1768.0,,
,-223.0,-156.0,-376.0,,-92.0,81.0,-1642.0,,
,70.0,-142.0,-364.0,,-540.0,64.0,-1191.0,,
,160.0,-161.0,-276.0,,-658.0,-54.0,-764.0,,
,109.0,-113.0,-252.0,,-577.0,-140.0,-116.0,,
,515.0,-119.0,-132.0,,-478.0,-191.0,-48.0,,
,672.0,-59.0,184.0,,-292.0,-156.0,473.0,,
,403.0,-43.0,181.0,,-147.0,-154.0,752.0,,
,577.0,-13.0,123.0,,-88.0,-127.0,885.0,,
,506.0,11.0,53.0,,-449.0,-59.0,820.0,,
,21.0,25.0,-2.0,,-769.0,-67.0,192.0,,
,-8.0,84.0,18.0,,-493.0,-145.0,-1.0,,
,-104.0,61.0,-37.0,,-17.0,-209.0,-240.0,,
,-211.0,144.0,89.0,,-148.0,-229.0,99.0,,
,-286.0,113.0,132.0,,-553.0,-237.0,650.0,,
,-562.0,132.0,-12.0,,-891.0,-241.0,1186.0,,
,-455.0,144.0,-93.0,,-609.0,-228.0,1526.0,,
,-281.0,104.0,-23.0,,429.0,-201.0,1043.0,,
,-190.0,144.0,4.0,,667.0,-138.0,426.0,,
,-67.0,61.0,-6.0,,281.0,-32.0,-968.0,,
,-125.0,70.0,73.0,,-64.0,140.0,-2065.0,,
,-53.0,-14.0,89.0,,-226.0,269.0,-2073.0,,
,84.0,-41.0,-5.0,,-216.0,166.0,-1500.0,,
,-41.0,-80.0,-28.0,,-93.0,-34.0,-925.0,,
,-87.0,-126.0,13.0,,-181.0,-205.0,-1134.0,,
,162.0,-83.0,13.0,,-159.0,-238.0,-1032.0,,
,135.0,-185.0,44.0,,176.0,-109.0,-1006.0,,
,-142.0,-156.0,0.0,,170.0,28.0,-670.0,,
,-94.0,-187.0,-107.0,,114.0,130.0,147.0,,
,94.0,-209.0,-293.0,,-169.0,70.0,412.0,,
,145.0,-202.0,-339.0,,-325.0,-82.0,914.0,,
,-2.0,-201.0,-367.0,,-377.0,-158.0,1149.0,,
,41.0,-138.0,-366.0,,-137.0,-56.0,1178.0,,
,371.0,-143.0,-26.0,,108.0,161.0,897.0,,
,379.0,-47.0,223.0,,-44.0,274.0,724.0,,
,316.0,-14.0,449.0,,-225.0,213.0,897.0,,
,511.0,56.0,616.0,,-556.0,10.0,310.0,,
,549.0,116.0,664.0,,-285.0,-154.0,68.0,,
,430.0,115.0,493.0,,131.0,-243.0,-347.0,,
,452.0,182.0,44.0,,448.0,-292.0,-774.0,,
,356.0,158.0,-254.0,,89.0,-331.0,-812.0,,
,8.0,176.0,-341.0,,-670.0,-314.0,-1328.0,,
,-313.0,175.0,-275.0,,-607.0,-157.0,-1840.0,,
,-659.0,146.0,-168.0,,-154.0,23.0,-2222.0,,
,-782.0,134.0,-180.0,,315.0,168.0,-1716.0,,
,-572.0,111.0,-242.0,,112.0,163.0,-1145.0,,
,-482.0,97.0,-375.0,,-535.0,44.0,-691.0,,
,-283.0,72.0,-606.0,,-724.0,-29.0,-607.0,,
,-223.0,97.0,-472.0,,-350.0,-17.0,-1614.0,,
,-252.0,104.0,-249.0,,-41.0,108.0,-1951.0,,
,58.0,109.0,-224.0,,-240.0,221.0,-1478.0,,
,54.0,112.0,-224.0,,-596.0,213.0,-42.0,,
,-85.0,82.0,-230.0,,-623.0,70.0,1513.0,,
,-79.0,73.0,-67.0,,-343.0,-128.0,2557.0,,
,-4.0,58.0,-231.0,,-118.0,-236.0,3063.0,,
,-41.0,32.0,-363.0,,-330.0,-179.0,2091.0,,
,-369.0,7.0,-461.0,,-582.0,35.0,1186.0,,
,-410.0,-10.0,-802.0,,-260.0,300.0,395.0,,
,-140.0,-18.0,-702.0,,-61.0,440.0,-201.0,,
,-36.0,-61.0,-542.0,,-123.0,378.0,-618.0,,
,-220.0,-90.0,-478.0,,-218.0,187.0,-1829.0,,
,-230.0,-95.0,-470.0,,-443.0,-12.0,-3089.0,,
,248.0,-121.0,-393.0,,-515.0,-94.0,-4188.0,,
,466.0,-93.0,-437.0,,-417.0,-34.0,-4221.0,,
,260.0,-91.0,-482.0,,-506.0,177.0,-3455.0,,
,344.0,-84.0,68.0,,-440.0,408.0,-1932.0,,
,741.0,-65.0,498.0,,-13.0,409.0,380.0,,
,1061.0,-58.0,706.0,,-10.0,241.0,1949.0,,
,813.0,-43.0,864.0,,-227.0,39.0,2808.0,,
,243.0,-43.0,781.0,,-336.0,-84.0,2549.0,,
,118.0,0.0,728.0,,-238.0,-82.0,1792.0,,
,38.0,-25.0,878.0,,-16.0,-15.0,776.0,,
,-490.0,4.0,736.0,,-295.0,82.0,-188.0,,
,-699.0,5.0,445.0,,-642.0,130.0,-35.0,,
,-416.0,-14.0,329.0,,-484.0,164.0,-73.0,,
,-196.0,17.0,93.0,,-189.0,224.0,-436.0,,
,81.0,-54.0,-341.0,,-328.0,248.0,-1454.0,,
,121.0,-2.0,-671.0,,-550.0,237.0,-2206.0,,
,15.0,-41.0,-660.0,,-201.0,238.0,-1583.0,,
,239.0,-74.0,-877.0,,203.0,247.0,-787.0,,
,175.0,-55.0,-966.0,,139.0,219.0,77.0,,
,0.0,-90.0,-787.0,,-124.0,158.0,413.0,,
,219.0,-45.0,-557.0,,-303.0,125.0,652.0,,
,113.0,-95.0,-291.0,,-77.0,115.0,362.0,,
,-73.0,-60.0,-229.0,,217.0,146.0,-644.0,,
,-213.0,-65.0,-110.0,,23.0,233.0,-628.0,,
,-625.0,-86.0,-89.0,,-306.0,280.0,-133.0,,
,-417.0,-58.0,-165.0,,-288.0,329.0,0.0,,
,-182.0,-84.0,-208.0,,-78.0,346.0,-1346.0,,
,-458.0,-45.0,-305.0,,-148.0,325.0,-2642.0,,
,-324.0,-59.0,-485.0,,-347.0,331.0,-2209.0,,
,-94.0,-31.0,-550.0,,-286.0,338.0,-1688.0,,
